param,param_type,description,required,default,min,max,choices
params.assembly_title,string,"Assembly title (e.g. 'E. maxima'), used in plot titles",y,NA,,,
params.chunk_size,int,Genome chunk size (bp) for generating the bedgraph file using sliding window,y,5000,100,,
params.assembly_fasta_path,path,Path to input assembly FASTA file,y,NA,,,
params.pipeline_run_folder,path,Folder for running the pipeline,y,NA,,,
params.singularity_image_path,path,Path to Singularity image for loading the software dependencies for running the genomic feature extraction pipeline of GDA,n,NA,,,
process.container,path,Path to Singularity image for loading the software dependencies for running the genomic feature extraction pipeline of GDA,n,NA,,,
singularity.enabled,bool,Boolean that determines if Singularity is enabled,n,NA,,,
singularity.autoMounts,bool,Boolean that determines if Singularity autoMounts option is enabled (for accessing files outside of the Singularity image),n,NA,,,
singularity.runOptions,string,Run options for Singularity,n,NA,,,
params.ref_mitoch_fasta_path,path,Path to FASTA file with reference mitochondrion sequence,n,NA,,,
params.ref_apicoplast_fasta_path,path,Optional: path to FASTA file with reference apicoplast sequence,n,NA,,,
params.gff_path,path,Path to genome annotations GFF file,n,NA,,,
params.rna_seq_fastq_1_path,path,Path to read 1 fastq.gz file of RNA-Seq paired end reads,n,NA,,,
params.rna_seq_fastq_2_path,path,Path to read 2 fastq.gz file of RNA-Seq paired end reads,n,NA,,,
params.orthomcl_references_folder,path,Folder for reference proteomes for OrthoMCL,n,NA,,,
params.diamond_memory_limit,int,"Memory limit for Diamond (in gigabytes, default: 5)",n,5,1,,
params.diamond_sensitive,bool,Running Diamond with the --sensitive flag (default: true),n,true,,,
params.telomeric_seq_preset,multiple_choice_string,Telomeric sequence type preset,y,vertebrates,,,vertebrates/paramecium/apicomplexan/oxytricha/arabidopsis_thaliana/cestrum_elegans/allium/zostera_marina/green_algae/insects/roundworms/saccharomyces_cerevisiae/saccharomyces_castellii/candida_glabrata/candida_albicans/candida_tropicalis/candida_maltosa/candida_guillermondii/candida_pseudotropicalis/kluyveromyces_lactis/schizosaccharomyces_pombe/dictyostelium/tetrahymena
params.custom_telomeric_seq,string,"Optional: telomeric sequence(s) as a comma separated string, e.g. 'TTAGGGT,TTAGGGC'. If a sequence is entered here, it overrides the telomeric sequence type preset. Default: NA",n,NA,,,
params.threads,int,Number of CPU threads,y,1,1,,
params.rf_stranded,bool,"Boolean argument for strandedness in the mapping of RNA-Seq reads. If this flag is enabled, HISAT2 is run with --rna-strandness RF flag. Otherwise the reads are mapped as unstranded",n,false,,,
params.wgsim_target_coverage,int,Average coverage of WGSIM simulated reads,y,10,5,,
params.custom_gff_tags,string_list,"Optional: comma separated string of custom tags for features to extract from the annotations GFF (example: five_prime_UTR,three_prime_UTR,miRNA)",n,NA,,,
params.run_gene_annotation_pipeline,bool,Boolean argument that determines whether to run the gene annotation pipeline. Do not use this if your input genome is already annotated,y,true,,,
params.annotation_target_species_id,limited_string,Annotation target species ID (will be used in gene IDs when annotating genes),n,UNNAMED_SPECIES,,,
params.augustus_species,multiple_choice_string,Species setting for Augustus ,n,NA,,,Conidiobolus_coronatus/E_coli_K12/Xipophorus_maculatus/adorsata/aedes/amphimedon/ancylostoma_ceylanicum/anidulans/arabidopsis/aspergillus_fumigatus/aspergillus_nidulans/aspergillus_oryzae/aspergillus_terreus/b_pseudomallei/bombus_impatiens1/bombus_terrestris2/botrytis_cinerea/brugia/c_elegans_trsk/cacao/caenorhabditis/camponotus_floridanus/candida_albicans/candida_guilliermondii/candida_tropicalis/chaetomium_globosum/chicken/chiloscyllium/chlamy2011/chlamydomonas/chlorella/ciona/coccidioides_immitis/coprinus/coprinus_cinereus/coyote_tobacco/cryptococcus/cryptococcus_neoformans_gattii/cryptococcus_neoformans_neoformans_B/culex/debaryomyces_hansenii/elegans/elephant_shark/encephalitozoon_cuniculi_GB/eremothecium_gossypii/fly/fly_exp/fusarium/fusarium_graminearum/galdieria/heliconius_melpomene1/histoplasma/histoplasma_capsulatum/honeybee1/human/japaneselamprey/kluyveromyces_lactis/laccaria_bicolor/leishmania_tarentolae/lodderomyces_elongisporus/magnaporthe_grisea/maize/maize5/mnemiopsis_leidyi/nasonia/nematostella_vectensis/neurospora/neurospora_crassa/parasteatoda/pchrysosporium/pea_aphid/pfalciparum/phanerochaete_chrysosporium/pichia_stipitis/pisaster/pneumocystis/rhincodon/rhizopus_oryzae/rhodnius/rice/s_aureus/s_pneumoniae/saccharomyces/saccharomyces_cerevisiae_S288C/saccharomyces_cerevisiae_rm11-1a_1/schistosoma/schistosoma2/schizosaccharomyces_pombe/scyliorhinus/sealamprey/strongylocentrotus_purpuratus/sulfolobus_solfataricus/tetrahymena/thermoanaerobacter_tengcongensis/tomato/toxoplasma/tribolium2012/trichinella/ustilago/ustilago_maydis/verticillium_albo_atrum1/verticillium_longisporum1/volvox/wheat/yarrowia_lipolytica/zebrafish
params.augustus_chunk_overlap,int,"Augustus chunk overlap (in basepairs, default: 12500)",n,12500,500,,
params.augustus_chunk_size,int,"Augustus chunk size (in basepairs, default: 750000)",n,750000,1000,,
params.reference_assembly_path,path,Optional: path to reference assembly for Liftoff,n,NA,,,
params.reference_gff_path,path,Optional: path to reference GFF file for Liftoff,n,NA,,,
params.barrnap_kingdom,multiple_choice_string,"Super kingdom of the species for Barrnap. Options: 'bac' (bacteria), 'arc' (archaea), 'euk' (eukaryota), 'mito': metazoan mitochondria. Default: 'euk'",n,euk,,,bac/arc/euk/mito
params.run_repeat_family_detection,bool,"Boolean that determines if repeat family detection is run",n,true,,,
params.repeat_family_detection_engine,multiple_choice_string,"Software for detecting repeat families. Options: 'repeatmodeler', 'meshclust2'",y,meshclust2,,,meshclust2/repeatmodeler
params.include_gene_strand_bias,bool,"Boolean argument that determines whether a gene strand bias bedgraph track is produced (based on gene annotations GFF file)",n,false,,,
params.skip_ltrharvest_ltrdigest,bool,"Boolean flag that can be used to skip running the LTRharvest and LTRdigest steps of the pipeline",n,false,,,
params.feature_extraction_only,bool,"Boolean flag that can be used to skip running clustering after running the genomic feature extraction pipeline",n,false,,,
